Product,Model,Question, Answer ,,,,,,,,,,,,,,,,,,,
BCAA,BCAA타우린7000+,bcaa 복용 방법 문의,"익스트림 BCAA 제품은 운동 중 혹은 운동 후, 동봉 되어 있는 스쿱으로 1스쿱(10g)을 300~400ml의 물과 함께 희석시켜 섭취하시는 방법으로 간편하게 섭취가 가능합니다.
고강도의 운동을 하고 계신다면 운동 컨디션 향상에 도움을 줄 수 있습니다 .",,,,,,,,,,,,,,,,,,,
BCAA,BCAA타우린7000+,1스쿱당 함유량 문의,"1회 복용 기준 BCAA 6000mg, 타우린 1000mg 함유되어 있으며 개인의 체질과 몸의 컨디션에 따라 몸의 흡수는 차이가 있을 수 있습니다.",,,,,,,,,,,,,,,,,,,
BCAA,BCAA타우린7000+,OPTIMA BCAA 타우린 7000+ 노란색 덩어리짐 발생,"BCAA 제품 원료 중 '사과산'이 보관시에 다른원료와 혼합되어 덩어리가 지면서 분말이 굳는 현상으로 보입니다. 
습한 환경에 노출될 시 해당 현상이 발생될 수 있으며 제품의 품질에는 이상이 없는것으로 판단됩니다. 가급적 직사광선을 피해 서늘한 곳에 보관하여 주시길 권장 드립니다 :)",,,,,,,,,,,,,,,,,,,
스쿱 리뉴얼,OPTIMA BCAA 타우린,스푼 리뉴얼 후 스푼크기로 인한 섭취량 변경있는지,"*스푼크기변동 
- 바이오셀 : 1스쿱을 듬뿍 퍼야함. 
- 콜마 : 1스쿱을 평평하게 퍼야함",,,,,,,,,,,,,,,,,,,
효소,골드 카무트 브랜드 밀 효소,섭취량 문의,과식한 경우 최대 2포까지는 섭취 해도 괜찮습니다.,,,,,,,,,,,,,,,,,,,
효소,골드 카무트 브랜드 밀 효소,섭취 가능 연령 문의,"네, 초등학생부터 복용가능하며, 설사 등 위장장애가 있다면 용량을 줄이고, 위장장애 없다면 1포 섭취 안내부탁드립니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,음주 후 복용,"음주 전후로 복용하셔도 괜찮으시지만, 음주를 하지 않고 복용하시는 편이 가장 효과가 좋습니다. 둘 중에는 음주 후 자기 전 복용을 권장드립니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,환자 섭취,"익스트림 밀크씨슬은 간기능 개선 효과가 있습니다. 하지만 의약품을 복용중이시라면, 고객님의 안전과 건강을 위해 고객님의 몸컨디션을 잘 알고 계시는 전문의사분과의 상담 후 섭취를 권장드립니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,800 VS 플러스,"익스트림 밀크씨슬 800과 밀크씨슬 플러스는 함량의 차이가 있습니다.

익스트림 밀크씨슬 플러스는 국내 건강기능식품 규격에 맞추어진 제품입니다. (1일 밀크씨슬 260mg, 실리마린 130mg) 
국내 식품법상 건강기능식품으로 등재된 밀크씨슬의 1 일 실리마린 함유량은 130mg 을 넘지 못하도록 되어있습니다. 
그리고 비타민B군 3종이 1일영양성분기준치 100% 만족하는 함량 함유되어 있습니다.

WHO에서 제시하는 실리마린  1일 권장섭취량은 250-400mg으로, 고함량 제품을 원하시는 분들을 위해 실리마린 400mg을 섭취할 수 있도록 설계된 제품입니다. 
강황 및 아티초크가 추가되어 삼중배합이 되어있는 제품입니다.익스트림의 제품들은 고함량이 큰 장점입니다.
하지만 사람 개개인의 체질에 따라 고함량이 부담스러우신 분들도 있기 때문에 익스트림 밀크씨슬 플러스는 함량을 낮춰 섭취량을 조절할 수 있도록 발매된 제품입니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,"800, 플러스 혼용","두 제품을 같이 복용하기 보다는 원하시는 함량에 따라 선택해서 복용하시는 걸 권장드립니다. 
익스트림 밀크씨슬은 고함량의 밀크씨슬을 찾는분들을 위한 제품으로 밀크씨슬 800mg(실리마린 400mg)이 함유되어 있습니다. 보통 밀크씨슬 고함량 제품은 해외 직구로 많이들 구매하십니다. 
익스트림 밀크씨슬 플러스는 고함량의 밀크씨슬 섭취가 부담스러우신 분들을 위해 국내 식약처 1일 최대섭취량(실리마린 130mg)에 맞춰 발매된 제품입니다.
밀크씨슬을 처음 복용 하신다면 밀크씨슬 플러스부터 복용해 보시는 걸 추천드립니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,저녁섭취 권장 이유,"익스트림 밀크씨슬 제품의 경우 정기적으로 편리하게 복용 하시기 위해 저녁식후로 섭취루틴을 권장드리고 있으며,고객님께서 편하신 시간대를 지정 해 두시고 꾸준하게 복용하는 것이 제일 좋습니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,공통,식품유형 문의,"익스트림 밀크씨슬 800 제품은 WHO에서 제시하는 실리마린  1일 권장섭취량(250-400mg)을 참고하여 고함량을 섭취할 수 있도록 400mg의 실리마린을 함유하였으며
강황 및 아티초크가 추가되어 삼중배합이 되어 있는 제품입니다.
일정 성분의 당을 함유하고 있어 본 제품은 당류가공품으로 제조되어 밀크씨슬 및 주요 성분들을 제외한 원료들은 최소한으로 함유하여 본질에 집중하였습니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,탈모 부작용 여부,"블랙마카의 성분을 직접적으로 살펴보면 큰 연관성은 없습니다.
탈모와 연관이 있다고 알려진 DHT성분은 남성 호르몬인 테스토스테론이 간에서 대사 나온 부산물인데요,
블랙마카를 섭취하시면서 근력 운동을 같이 하시면 남성호르몬 수치를 높일 수 있어 이 경우 연관이 있다고 보는 경우는 있습니다!
하지만 블랙마카가 탈모에 직접 유발한다는 근거는 알려진 바 없습니다.
개인의 체질이나 건강 상태에 따라 차이가 있을 수 있으므로, 탈모가 걱정되신다면 피부과 전문의 상담을 추천드립니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,블랙마카의 비타민 함량,"익스트림 블랙마카의 비타민은 부원료로 소량 함유되어 있기 때문에 비타민 하루 권장량에는 부족한 수치이니, 다른 비타민 제품과 함께 복용하셔도 괜찮습니다!",,,,,,,,,,,,,,,,,,,
블랙마카,공통,블랙마카의 아르기닌 함량,"(제품에 따라 함유여부 다름/확인 필요)**블랙마카 활력환/2500에는 함유되어 있음**
L-아르기닌이 함유되어있는 제품이더라도 부원료로 소량 함유되어 있기 때문에 충분한 아르기닌 섭취를 위해서는 익스트림 트리플 아르기닌 제품을 추천 드립니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,식품 유형 문의(과채가공품),"국내 식품법상 마카는 대부분 과채가공품으로 제조됩니다. 
익스트림 블랙마카 제품은 식약처에서 허용한 49.9% 블랙마카 함유량을 배합하였습니다. 
본 제품은 과채가공품으로 제조되어 마카 및 주요 성분들을 제외한 원료들은 최소한으로 함유하여 본질에 집중하였습니다.
더불어 익스트림 블랙마카 제품은 HACCP 및 GMP 인증을 받은 제조사에서 만든 제품이니 안심하고 드셔도 됩니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,블랙마카 정제 색상 문의,"블랙마카는 고산지대인 안데스 산맥의 페루 지역에서 자라는 식물의 뿌리로 만들어진 제품으로 색소,첨가물 없이 제조되어 원물 고유의 색상에 따라 정제의 색이 연하거나 조금 더 진할 수 있습니다.
작물의 특성으로 인한 자연스러운 현상이니 안심하고 섭취하셔도 괜찮습니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,남성 호로몬 증가,"""마카의 생리활성,2009""의 논문을 보시면 원료로써 정약의 양, 정자수, 정자의 움직임이 유의적으로 증가했다는 결과가 있어 상관 관계가 있는 것으로 보고 있습니다.",,,,,,,,,,,,,,,,,,,
블랙마카,공통,"블랙마카 제품 섭취 후 식욕이 억제되는 느낌을 받았는데 
관련된 성분이 있는지 문의",식욕억제 관련된 직접적인 성분이 있는것은 아니지만 블랙 마카 원료의 혈당 조절 / 호르몬 조절 / 신진대사 활성화 등으로 인해 간접적으로 식욕이 조절에 도움 될 수 있는 점 참고 부탁드립니다.,,,,,,,,,,,,,,,,,,,
아르기닌,공통,아르기닌 복용 후 복통 및 설사 증상이 있어요,"아르기닌의 경우 아미노산 흡수 우선 순위가 낮아 흡수율을 높히기 위해 고함량으로 섭취 해 주시는 것을 추천 해 드립니다만,
개인의 컨디션과 체질에 따라 몸의 몸의 반응은 다를 수 있어서 복용 후 설사 증상이 있으실 경우에는
섭취량을 조절해서 반포만 섭취하시거나 또는 물에 희석하여 섭취하시는 것을 권장 해 드립니다.
고함량 아르기닌 제품이기 때문에 조절 후 복용량을 늘려 가시는 것이 좋을 것 같습니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,어떤 효과가 있나요? or 언제 효과가 나타나나요,"아르기닌은 타 아미노산과의 흡수 경쟁에서 밀리기 때문에 고함량 아르기닌 제품으로 충분한 섭취를 권장 드립니다.
익스트림 아르기닌 제품은 고함량의 아르기닌이 함유 되어 있어 운동 전으로 섭취 하시게 되면 도움이 될 수 있습니다.
또한, 카르니틴, 오르니틴, 시트룰린, 아스파트산까지 배합하여 5종의 회로 아미노산이 순환하며, 아르기닌의 흡수, 활력의 극대화를 도와줄 수 있습니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,L- 아르지닌이 아르기닌인가요?,네 맞습니다. L-아르기닌과 L-아르지닌은 같은 말입니다.,,,,,,,,,,,,,,,,,,,
아르기닌,공통,헤르페스가 있는데 섭취해도 괜찮을까요?,"아르기닌은 헤르페스 보균자의 포진 등에 영향을 미칠 수 있어 헤르페스가 있으시다면, 보다 안전한 복용을 위헤 섭취전 전문의사분과의 충분한 상담을 권장 해 드립니다.
섭취 시 몸의 반응은 개인의 차가 있을 수 있어, 고객님의 몸 컨디션을 잘 알고 계시는 전문 의사분과의 충분한 상담 후 복용을 해 주시길 바랍니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,휴지기 문의,"아르기닌 제품은 별도의 휴지기가 없습니다.따라서 꾸준한 섭취가 가능하시고, 공복에 흡수율이 좋습니다.
단, 공복 섭취 후 속이 쓰리거나 몸에 무리를 느끼신다면 식후 섭취로 바꾸어 주시는 편이 좋습니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,"청소년, 학생도 섭취 가능여부 문의","익스트림 트리플 아르기닌 제품은 중,고등학생도 섭취 가능하나 고함량 제품으로 청소년기 이후 섭취를 추천드리고 있습니다. 
고함량 제품으로 처음 복용 하신다면, 섭취량을 반포로 물과 희석하여 먼저 섭취 해 보시고, 이후 섭취량을 점차 늘려가시는 것을 추천 해 드립니다.
(해당 제품 고함량으로 청소년기 이후 복용 가능 안내 ) 

*듀얼아르기닌의 경우 정제 사이즈가 커서, 정제 크기를 삼킬 수 있는 연령대 부터 복용 가능",,,,,,,,,,,,,,,,,,,
아르기닌,공통,건강기능식품인가요?,"1) 아르기닌의 경우 일반식품원료 / 개별인정형원료 / 의약품 원료로 구분할 수 있습니다. 
익스트림 트리플 아르기닌 제품은 일반식품원료를 사용하였으나, 고함량의 아르기닌을 함유하고 있으며 HACCP 및 GMP 인증을 받은 제조사에서 만든 제품이니 안심하시고 드셔도됩니다.

2) 익스트림 트리플 아르기닌의 주 원료인 아르기닌은 식품 유형상 '일반식품'의 '혼합음료'로 입니다. ",,,,,,,,,,,,,,,,,,,
아르기닌,공통,노케스템 관련,"WCS는 인증마크가 아닌, Warrant Contents Standard의 약자로 확인됩니다.익스트림 아르기닌의 경우 CJ의 원료로 만들어지며, 해당원료의 시험성적서를 모두 보유 하고있습니다.
(WCS, 노케스템의 경우 업체에서 자체적으로 만든 약자인 것으로 보여집니다.)식약처에서 인정하는 인증마크는 HACCP , GMP 마크이며 아르기닌 상품에는 HACCP이 인증마크가 표기되어있습니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,단백질 성분 식물성/동물성 여부,저희가 사용하는 아르기닌원료의 경우 CJ 제일제당에서 독점공급을 받는 아미노산이며 식물성입니다.,,,,,,,,,,,,,,,,,,,
아르기닌,공통,탈모 부작용 여부,"아르기닌이 탈모에 직접적으로 영향을 미친다는 연구결과 및 과학적 근거는 부족합니다. (오히려 모발/두피의 혈액순환을 도와 긍정적인 영향을 미칠 수 있다는 연구결과도 있음)
다만 익스트림 트리플 아르기닌 6200의 상품은 아르기닌이 고함량이 들어가있어 효과가 느껴지는 정도 및 몸의 반응은 개인의 체칠과 몸의 컨디션에 따라 다르기에 정확하게 안내 드리기 어려운 점 양해 부탁드립니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,권장섭취량보다 초과해도 되나요?,"통상적으로 1일 12,000mg까지의 아르기닌 섭취는 큰 부작용 사례가 보고된적이 없습니다.
또한, 아르기닌의 경우 수용성 아미노산으로 고함량으로 섭취해도 체내에 남지않고 배출되어 안전합니다!
다만 고함량 아르기닌의 섭취는 복통 및 설사 등의 부작용을 유발할 수 있으니 필요하신 경우엔 섭취량을 조절하시면 될 것 같습니다.",,,,,,,,,,,,,,,,,,,
아르기닌,공통,(게시판)원료사 어딘가요? 원산지라든가 정보 부탁드려요 중국산일까요?,"익스트림 아르기닌 젤리스틱 제품은 CJ 제일제당으로 부터 익스트림이 독점적으로 계약받은 AMINATURE사의 식물성 L-아르기닌 원료를 사용중이며 
추출된 원료의 원산지는 인도네시아, 최종 유통은 대한민국 CJ 제일제당 입니다.",,,,,,,,,,,,,,,,,,,
오메가,공통,알약 섭취가 힘들어 안에 내용물만 섭취가 가능할까요?,"내용물만 섭취하셔도 무관하나, 오메가3 특유의 비릿한 향이 날 수 있는 점 참고부탁드립니다.",,,,,,,,,,,,,,,,,,,
오메가,공통,처음과 달리 꼬릿한 냄새가 심해졌어요,"오메가3의 경우 생선에서 추출하였기 때문에 어취가 날 수 있습니다.
특히 듀얼 오메가3는 대용량 구성으로 병에 3개월분이 들어가있는 포장 특성 상 PTP포장 제품보다 냄새가 더 날수 있는 점 안내 부탁드립니다.
추가로 뚜껑을 계속 열게되면 산패가 빠르게 진행될 수 있어 뚜껑을 꼭 닫아 직사광선을 피해 서늘한곳에 보관 부탁드립니다.",,,,,,,,,,,,,,,,,,,
전 제품,공통,의약품과 함께 섭취 가능여부 문의,말씀주신 의약품이 치료 목적으로 복용하고 계신다면 섭취 이전 담당 의사와 충분한 상담 후 섭취하는 것을 권장 하고 있습니다.,,,,,,,,,,,,,,,,,,,
전 제품,공통,소비기한 경과 제품 섭취 문의,익스트림은 고객님의 안전을 위해 소비기한이 경과된 제품의 섭취는 권장하고 있지 않습니다.,,,,,,,,,,,,,,,,,,,
프로틴,공통,일반과 플러스의 차이점은 뭔가요?,"1. 익스트림 모노크레아틴
독일의 기술력과 노하우로 탄생한 순도 100% 독일산 Creapure® 인증 크레아틴 모노하이드레이트 제품입니다
식약처 권장 1일 섭취량을 100% 충족하며, 반도핑 인증을 완료해 더욱 안심하고 섭취할 수 있습니다.
또한 무맛·무취로 부담 없이 간편하게 크레아틴을 보충할 수 있는 제품입니다.

2. 익스트림 모노크레아틴 플러스
익스트림이 단독 개발한 EXTREME MONOCREA 크레아틴 모노하이드레이트 제품으로, 100% 순수 크레아틴 모노하이드레이트 3,000mg을 함유했습니다.
식약처 1일 권장 섭취량을 100% 충족하며, 무맛·무취로 부담 없이 간편하게 섭취할 수 있고 가성비가 뛰어나 꾸준히 크레아틴을 보충하기에 적합한 제품입니다.
※모노크레아틴 플러스 제품 원산지는 중국산이며 1차적으로 위와 같이 응대 후 그래도 원산지를 문의하시면 안내 부탁드립니다.

🌟 근력과 운동 수행 능력을 높이고 싶다면? 목적별 모노크레아틴 제품 추천
순도 100% 독일산 모노하이드레이트 크레아틴을 원하신다면 → 익스트림 모노크레아틴
가성비 좋은 크레아틴 제품을 원하신다면 → 익스트림 모노크레아틴 플러스
",,,,,,,,,,,,,,,,,,,
글루타민,글루타민 ZMA,하루 2~3정 섭취해도 되나요?,"네, 하루 최대 3정까지 섭취 가능합니다. 3정 섭취시, 마그네슘 300mg, 아연 25.5mg, 비타민B6 13.5mg으로 성인남성기준 상한 섭취량을 넘지 않으며, 드시고계신 다른제품과 영양성분이 겹치지 않는지 주의 부탁드립니다.",,,,,,,,,,,,,,,,,,,
글루타민,글루타민 ZMA,아이와 함께 섭취해도 되나요?,글루타민ZMA는 아미노산과 비타민 미네랄을 담은 제품으로 성장기 어린이와 청소년의 건강관리에도 도움이 됩니다.,,,,,,,,,,,,,,,,,,,
글루타민,글루타민 ZMA,운동 하지 않고 섭취해도 효과 동일한가요?,"글루타민은 운동후 근육에 누적된 피로를 풀어주고 몸속에 들어온 단백질이 근합성에 쓰이도록 도와줍니다.
그래서 운동후에는 근육내에 있는 글루타민 농도가 감소하기때문에 운동후 섭취해주면 근육회복에 도움을 받을 수 있습니다.",,,,,,,,,,,,,,,,,,,
글루타민,글루타민 ZMA,"성장기 아이가 섭취해도 된다고 명시 되어있는데 
초등학교 저학년 섭취 가능한가요?",*권장섭취량 - 글루타민(성인) : 5g~15g / 마그네슘(9~13세) : 220mg / 아연(9~13세) : 8mg 섭취무방합니다.,,,,,,,,,,,,,,,,,,,
글루타민,글루타민 ZMA,"글루타민 제품의 1일 섭취량에 대해 문의 / 일반적으로 글루타민은 1일 2g~10g 정도 섭취하는 것이 일반적으로 알려져 있는데, 
하루 500mg 섭취량이 너무 적은 것이 아닌지 문의","글루타민은 육류, 달걀, 유제품, 콩류와 같은 식품에 풍부하게 들어있습니다.
그러나 운동을 하거나 근육 회복이 필요한 경우, 보충제(영양제)를 통해 추가 섭취하는 것이 효과적입니다.

음식(식품)을 통해 섭취하는 글루타민 양이 적으시면 1일2정~3정 섭취하셔도 무방합니다.",,,,,,,,,,,,,,,,,,,
마그네슘,꼬막칼슘 마그네슘 비타민D&K,비소성 칼슘인가요?,"화학공정이나 첨가물이 사용된 칼슘이 아닌 친환경 공법으로 생산된 100% 비소성 친환경 칼슘입니다!
(*비소성 칼슘은 저온에서 가공한 칼슘을 말합니다.",,,,,,,,,,,,,,,,,,,
마그네슘,꼬막칼슘 마그네슘 비타민D&K,"마그네슘 원료 원산지, Non-GMO 여부 문의","익스트림 꼬막 칼슘 마그네슘 비타민 D&K 제품의 경우 비타민 K2는 Non-GMO 원료가 아니며,
비타민 D와 마그네슘은 Non-GMO 원료가 사용되고 있습니다.",,,,,,,,,,,,,,,,,,,
마그네슘,꼬막칼슘 마그네슘 비타민D&K,K2 초임계 추출 방식인지?,"문의주신 익스트림 꼬막 칼슘 마그네슘 비타민 D&K 제품에 대해 안내드립니다.
본 제품에 함유된 비타민 K2는 초임계 추출 방식의 원료는 아니지만, 철저한 품질 관리 기준을 통과한 고품질 원료만을 사용하여
안심하고 섭취하실 수 있는 제품입니다.",,,,,,,,,,,,,,,,,,,
마그네슘,꼬막칼슘 마그네슘 비타민D&K,비타민K2는 어떤 형태인지?,익스트림 꼬막칼슘 마그네슘 비타민 D&K 제품에 함유된 비타민K2(MK-7)는 체내 흡수율과 안정성이 높은 'Trans 형태'의 원료를 사용하고 있습니다.,,,,,,,,,,,,,,,,,,,
성분,꼬막칼슘 마그네슘 비타민D&K,1일 권장량 섭취시 비타민d함량,"1일 섭취량 2정 섭취 시 비타민D 100mcg(=4,000IU)",,,,,,,,,,,,,,,,,,,
성분,꼬막칼슘 마그네슘 비타민D&K,원료배합에 비타민D가 100ug 비타민K 70ug라고 표기되어 있는데 하루권장량 상한선이 아닌가요?!,"비타민K 70ug 은 식약처가 정한 1일영양성분 기준치 100%를 만족하는 함량이며, 
비타민D는 100ug(4000IU)은 1,000%에 해당하는 함량입니다. 

비타민D의 1일영양성분 기준치는 10ug(400IU)이지만, 한국인 대부분은 비타민D 결핍 또는 부족한 경우가 많기 때문에 충분한 보충을 통해 건강상 이로움을 챙기실 수 있도록 시중에 비타민D 고함량 제품이 많이 있습니다. (ex 1,000~5,000IU) 

비타민D는 칼슘의 흡수 및 이용되는데 도움이 되어 뼈의 형성과 유지에 필요한 필수 영양소이므로 충분한 함량을 통해 뼈건강에 도움받으시길 바랍니다.",,,,,,,,,,,,,,,,,,,
성분,꼬막칼슘 마그네슘 비타민D&K,비타민K2 단독으로 들어가는 게 맞는지,현재 판매중인 익스트림 꼬막칼슘 마그네슘 비타민D&K 제품의 비타민K는 K2 단독으로만 들어간게 맞습니다~!,,,,,,,,,,,,,,,,,,,
대마종자유,대마종자유 1000,대마종자유와 식물성 오메가3 성분이 같은건가요?,"대마종자유 : 대마 씨앗에서 추출된 식물성 오일로, 필수아미노산과 단백질이 함유되어있습니다.
또한 오메가6와 오메가3가 3:1 비율로 다량 함유되어 있으며, 신체 내 지방산 균형을 맞추는데 효과적입니다.

식물성 오메가3 : 오메가3만 함유되어있으며, 혈행개선, 혈중중성지질개선에 도움을 주는 제품입니다.

즉 식물성 오메가3는 오메가3 성분에 집중한 건강기능식품 제품이며,
대마종자유는 오메가3 뿐만아니라 필수아미노산, 단백질, 오메가6 성분이 골고루 함유된 일반식품입니다.",,,,,,,,,,,,,,,,,,,
활력샷,더 활력샷,"더 활력샷 1병당 엽산 2,000ug 함유되어 있는데, 
엽산의 경우 일일권장섭취량이 최대 1,000ug로 알고 있어 함유량이 너무 높은 것 아닌가요?","엽산은 수용성 비타민에 해당되는 비타민B군 중 하나입니다. (비타민B9)
수용성 비타민의 경우 몸에 필요한 양만 흡수되고 나머지는 소변으로 배출되므로 걱정하지 않으셔도 됩니다. 활력샷 제품은 활력이 필요하신 분들을 집중으로 고함량 설계 된 점 참고 부탁드립니다.",,,,,,,,,,,,,,,,,,,
활력샷,더 활력샷,활력샷 복용 방법 문의,"익스트림 더 활력샷 제품은 1일 1회, 뚜껑을 개봉하여 정제와 액상을 함께 섭취 하시면 됩니다.",,,,,,,,,,,,,,,,,,,
활력샷,더 활력샷,활력샷 섭취 시간 문의,"익스트림 더 활력샷 제품은 에너지 부스팅 목적으로 오전 공복, 혹은 운동을 즐겨하신다면 운동 전에 섭취 하는 것을 추천드립니다.",,,,,,,,,,,,,,,,,,,
활력샷,더 활력샷,활력샷 공복 섭취 문의,"익스트림 더 활력샷 제품은 공복에 단독 섭취하실 경우 흡수율을 높이실 수 있습니다.하지만 개인의 체질과 몸의 컨디션에 따라 
공복에 복용하실 경우 속쓰림, 더부룩함 등 위장장애가 나타날 수 있어, 위장장애가 있으시다면 식사 후 복용을 권장드립니다.",,,,,,,,,,,,,,,,,,,
활력샷,더 활력샷,섭취 연령대 문의,"익스트림 더 활력샷 제품은 청소년부터 섭취하는 것을 권장드립니다.
또한 첫 복용 시 섭취량을 반으로 조절하여 몸의 컨디션 반응을 지켜보며 점진적으로 권장 섭취량으로 늘려 복용하는 것을 추천드립니다.",,,,,,,,,,,,,,,,,,,
활력샷,더 활력샷,일일 섭취량 문의,"익스트림 더 활력샷 제품은 1일 1회 섭취하는 제품이지만, 필요에 따라 하루에 최대 2병까지 섭취 하셔도 괜찮습니다.
다만 2병 초과 복용 시 개인에 따라 설사 및 복통을 유발할 수 있으니 적절하게 조절하여 섭취하는 것을 추천드립니다.",,,,,,,,,,,,,,,,,,,
활력샷,더 활력샷,섭취문의,"익스트림 더 활력샷 제품은 남녀노소 누구나 섭취 가능합니다.
활력 원료를 액상 한병과 정제 2정에 알차게 나눠 담은 제품으로, 활력이 필요한 직장인,주부 등 모두가 복용 할 수 있으며 피로회복,활력개선,면역력 강화 등의 효과를 볼 수 있습니다.",,,,,,,,,,,,,,,,,,,
활력샷,더 활력샷,액상이 젤리화(고체화)가 됨 문의,"해당 제품의 뭉침 현상은 타마린드검 0.4%. 잔탄검 0.08%로 타마린드검이 높은 배합비로 구성이 되어있는데 검의 농도가 높을 수록 수분을 흡수하는 성질이 있습니다.
이를 낮은 온도에서 보관, 유통 될 시 겔화가 촉진이 되어 뭉침 현상이 발생하는 것으로 나타났습니다.

미생물 시험 결과 일반세균 0 CFU/ML , 대장균군 음성으로 해당제품이 미생물 오염으로 인한 변질이 아님을 성적서로 확인하였습니다.
추후에는 검의 배합비를 낮추어 제품 생산을 진행할 예정이며, 주의문구 또한 추가하며 ' 저온 보관시 뭉칠 수 있다고' 고지하는것이 좋을것같습니다.

불편함을 초래하여 진심으로 죄송하다는 말씀과 더불어 추후에는 이런 오차 없이 생산할 수 있도록 품질관리에 힘쓰도록 하겠습니다.",,,,,,,,,,,,,,,,,,,
성분,듀얼 아르기닌 플러스,듀얼 아르기닌 플러스 영양성분표 내 탄수화물이 높은 이유,아르기닌 제품의 탄수화물 수치는 말토덱스트린 때문일 가능성이 높습니다. 말토덱스트린은 고분자 탄수화물로 여러 분말들을 잘 뭉쳐지기 위한 역할을 합니다. 이 점 참고 부탁드립니다,,,,,,,,,,,,,,,,,,,
아르기닌,듀얼 아르기닌 플러스,가루형태의 제품을 섭취 후 혀가 아파요,"아르기닌 원료 자체가 쓰고, 떫고, 비린맛이 있습니다.
원료 자체의 특성으로 해당 증상이 일어날 수 있습니다!",,,,,,,,,,,,,,,,,,,
아르기닌,듀얼 아르기닌 플러스,1통 내 방습제가 몇개 들어있나요?,"제조사 우유헬스케어, 한풍네이처팜 모두 2개씩 들어있습니다.",,,,,,,,,,,,,,,,,,,
루테인,루테인지아잔틴,어떻게 복용하나요?,익스트림 루테인지아잔틴은 하루 1캡슐 식후 충분한 물과 함께 복용을 권장드립니다.,,,,,,,,,,,,,,,,,,,
류신,류신 단백질 플러스,다른 아미노산 함량 문의,"익스트림 류신 단백질 플러스 제품에는 류신 외에 11종 아미노산이 함유되어있습니다.
11종 아미노산 소량 함유되어있는 점 참고 부탁드리겠습니다.",,,,,,,,,,,,,,,,,,,
