Product,Model,Question, Answer ,,,,,,,,,,,,,,,,,,,
성분,류신 단백질 플러스,"1. 당성분이 몇 %인지? 
2. 단백질 보충제와 시간차를 두고 섭취해도 되는지? 
3. 단백질 보충제와 함께 섭취시 단백질 과다 섭취하는 것은 아닌지?","1. 당성분이 몇 %인지?
=> 1정당 1g 미만입니다. 

2. 단백질 보충제와 시간차를 두고 섭취해도 되는지?
=> 넵 ^^ 가능합니다~ 

3. 단백질 보충제와 함께 섭취시 단백질 과다 섭취하는 것은 아닌지?
=> 단백질보충제와 함께 섭취하실 경우 시너지가 날수있습니다. 류신은 단백질 보충제의 근육 합성 효과를 올려주어 운동 직후에 단백질과 류신을 함께 섭취하시면 근육 회복에도 도움을 줄 수 있습니다.",,,,,,,,,,,,,,,,,,,
성분,류신 단백질 플러스,아르기닌 함량,"안녕하세요, 류신 단백질 플러스 내 아르기닌은 부원료로 소량 함유되어 있습니다. 
본 제품은 1정 섭취 시 단백질 합성의 핵심인 L-로이신(류신)을 고함량(300mg) 함유한 제품인 점 참고 부탁드립니다.",,,,,,,,,,,,,,,,,,,
원산지,류신 단백질 플러스,로이신 원료 원산지,"로이신 원료는 중국산이며 그외 다른 원료들은 미국산, 네덜란드산, 국산임",,,,,,,,,,,,,,,,,,,
함량,류신 단백질 플러스,"1정당 마카,아르기닌 함량","마카 1.6mg, 아르기닌 0.8mg 함유되어있습니다.

류신 단백질 플러스 제품은 류신 및 단백질 함량을 신경 쓴 제품으로 마카, 아르기닌은 극소량 함유된 점 안내부탁드립니다.",,,,,,,,,,,,,,,,,,,
유산균,리얼 비피더스 플러스,성분 중 우유 함유되는 이유와 유당불내증이 있을 경우 섭취하면 안되나요?,"갈락토올리고당은 유당에서 유래되어 본 제품에는 '우유 함유'가 표시되어 있습니다. 
유당불내증이 있으신 경우, 제품 섭취에 신중을 기해주시기 바랍니다. 일반적으로 유당불내증이 심하지 않은 경우에는 큰 문제가 없을 것으로 보이나, 
개인차가 있을 수 있으므로 증상이 심하신 분은 섭취 전 전문의와 상담하실 것을 권장드립니다.",,,,,,,,,,,,,,,,,,,
유산균,리얼 비피더스 플러스,비피더스 완충 비닐이 없는게 맞나요?,"익스트림 리얼 비피더스 플러스 30캡슐 제품에는 이전에 완충 비닐이 포함되었던 것이 맞으며, 
2025년 1월 생산 제품부터 환경부의 일회용품 사용 규제로 인해 제외되었습니다. 
익스트림 리얼 비피더스 제품은 정제형이 아닌 캡슐형으로, 용기 내부에서 부딪혀도 깨질 위험이 없어 완충제 없이도 안전하게 섭취하실 수 있습니다!

(*참고 : 60캡슐은 용기에 꽉 차게 담겨있어, 기존에도 완충비닐은 포함되어있지 않았습니다!)",,,,,,,,,,,,,,,,,,,
유산균,리얼 비피더스 플러스,비피더스와 보장균수차이 문의,"일단 보장균수라는 개념은 유통기한 내에 생균이 살아있는 수를 이야기합니다. 
이런 내용을 봤을때는 다소 적게 섭취하는 것은 아닐까하는데, 유산균의 균주 strain과 그 기능을 보면 좋을 것 같습니다.
두 제품은 공통적으로 장기능 개선가지고 있으며 101억 보장제품은 운동수행능력의 특징을,50억 제품은 비피더스로 과민성 장 / 무른 변에 특화된 유산균입니다.
각 제품들은 장까지 도달하여 기능을 하므로, 두 제품은 개인적인 상황에 맞추어 섭취하시면 좋을 것 같습니다!",,,,,,,,,,,,,,,,,,,
유산균,리얼 비피더스 플러스,b3유산균 여부 문의,리얼비피더스 유산균은 B3 유산균이 아닙니다!B3 유산균 균주 명칭은 Bifidobacterium Breve B-3으로 체지방 감소에 도움을 주는 유산균입니다.,,,,,,,,,,,,,,,,,,,
릴렉스온,릴렉스온,불면증에 도움이 될까요?,익스트림 멜라토닌 릴렉스온은 의약품이 아닌 식품으로 편안하게 섭취가능하며식물성 멜라토닌 원료 편안한 휴식을 위한 원료들이 배합되어있어섭취를 안하시는 것 보다 편안한 휴식을 가질 수 있는 제품입니다,,,,,,,,,,,,,,,,,,,
릴렉스온,릴렉스온,하루 최대권장량이 어떻게되나요?,"익스트림 멜라토닌 릴렉스온 제품은 하루 1정을 섭취권장 드리고 있습니다.
권장하는 섭취량은 1일 1회 1정이나 최대 하루 2정까지 섭취 가능합니다.",,,,,,,,,,,,,,,,,,,
릴렉스온,릴렉스온,나이가 많은 사람도 먹어도 될까요?,"익스트림 식물성 멜라토닌 2mg 함유 릴렉스온 제품은 100% 토마토유래 식물성 멜라토닌으로
스트레스가 많은 현대인과 밤잠으로 고민이 많은 실버층까지 안전하게 섭취 가능한 식물성 멜라토닌 입니다!",,,,,,,,,,,,,,,,,,,
비타민,멀티비타민&미네랄,"칼슘, 마그네슘 함유량 문의","마그네슘은 없으며, 해조칼슘 35mg 함유되어 있습니다.",,,,,,,,,,,,,,,,,,,
성분,멀티비타민&미네랄,활성형 엽산인지?,스위스산 일반 엽산,,,,,,,,,,,,,,,,,,,
성분,모노크레아틴,마이크로나이즈드 크레아틴인지?,"마이크로나이즈드 크레아틴은 아닙니다. 
미분화된 원료는 현재 글로벌 시장에서 일반식품용으로 사용하고 있고, 국내에서는 사용을 잘 안하고 있는 원료라고 합니다.",,,,,,,,,,,,,,,,,,,
제품 이상,모노크레아틴,물에 섞었을때 알갱이가 모래처럼 씹히는데 정상인지?,모노크레아틴 원료 특성상 용해도가 낮아 물에 완전히 녹지 않고 알갱이가 살짝 떠 있는 경우가 있을 수 있습니다. 이는 크레아틴 분자의 특성때문인데 비극성(소수성)과 극성(친수성)부분을 모두 가지고 있지만 전체적으로 물과 결합하는 극성 부분이 부족하기 때문에 물과 결합력이 약합니다.,,,,,,,,,,,,,,,,,,,
프로틴,모노크레아틴,"분리대두단백,분리유청단백 함유로 섭취 가능여부",크레아프로틴에 WPI(분리유청단백)+ISP(분리대두단백)만 함유되어있어 유당불내증 있는 분께서 섭취해도 무방합니다,,,,,,,,,,,,,,,,,,,
프로틴,모노크레아틴,유댕불내증 있는데 섭취해도 될까요?,"유당불내증 가지신 분이 아예 불편함을 느끼시지 않으시려면 ISOLATE ONLY로 된 단백질이 가장 좋습니다. 
ex. 100% 분리유청 단백, 100%분리 대두, 완두 단백 등 모든 단백질원이 분리형태. 

저희 크레아프로틴의 경우 크레아틴을 제외한 단백질원은 분리대두 및 분리유청으로 ISOLATE형태로만 이루어져 있어 유당불내증이 있으셔도 무방합니다!",,,,,,,,,,,,,,,,,,,
프로틴,모노크레아틴,운동안해도 섭취 가능한가요?,운동 안하는 사람이 섭취시 활력에 도움이 될수있다고 하시면 될것같습니다. 다만 운동하실떄 좀더 효과를 볼 수 있는 원료로 간단한 운동과 병행 하시면 더 좋은 효과를 보실 수 있습니다.,,,,,,,,,,,,,,,,,,,
프로틴,모노크레아틴,모노크레아틴 플러스'제품 섭취 시 탈모 발생 가능성?,"크레아틴을 먹으면 탈모랑 연관이있을거라는 이야기가 많았는데요~ 
크레아틴이 직접적으로 탈모를 유발한다는 연관성은 없습니다. 탈모 인과관계는 아직 국내/해외 확인된 연구나 임상결과도 없습니다.",,,,,,,,,,,,,,,,,,,
프로틴,모노크레아틴,미분화 된 제품이 맞나요?,미분화 된 제품 맞음,,,,,,,,,,,,,,,,,,,
프로틴,모노크레아틴,상세페이지 내 1회 섭취 3g 기준 2.4g이 탄수화물이면 크레아틴은 0.6g 함량이 아닌지 문의,"익스트림 모노크레아틴 플러스는 1회 섭취량(3g)당 크레아틴 3g 을 섭취하실 수 있도록 설계된 제품입니다. 
보시는 영양정보의 값들은 식약처 [식품의 기준 및 규격]에 따라 크레아틴의 영양정보(열량, 탄수화물, 단백질, 지방, 나트륨)을 분석하여 수치로 표시하게 되어있습니다. 
따라서, 1회 섭취 시 크레아틴을 3g 을 섭취하시는 것이고 이 3g 을 잘개 쪼개서 영양성분을 분석해보면, 
열량 10kcal, 탄수화물 2.6g, 단백질 0g, 지방 0g, 나트륨 0mg가 포함되어있는 것입니다. 
얼핏 보시기에는 탄수화물의 합과 크레아틴의 합으로 총량이 구성된 것럼 보이나, 
크레아틴은 지표성분으로 따로 분석값을 수치한 것이고 이 크레아틴의 영양성분은 별도라고 생각해주시면 될것같습니다~! 
——————————————————————————- 
타사 제품(잠백이/삼대오백/기타 해외제품)과 비교해서 왜 익스트림제품만 이렇게 탄수화물이 높게 나오나요? 
A : 안녕하세요 고객님 익스트림 크레아틴은 국내 식품의약품안전처 「식품의 기준 및 규격」 을 준수하며 까다로운 품질 기준을 세우고 있는 콜마에서 생산하였습니다. 이처럼 국내 대형 GMP 공장에서 생산된 제품들은 식품 규격에 맞춰 표기를 하고 있습니다. 
노바렉스, 콜마 에서 생산하고 있는 타사의 크레아틴 국내 제품들을 보시면 탄수화물 수치를 확인하실 수 있습니다. (e.g 뉴트리코어 크레아틴 , 뉴트리디데이 크레아틴 등) 
=> 이렇게 대응 드리고 추가 질문을 하시는 분들은 정확한 분석 값을 성적서와 이메일로 공유드리고자 합니다.",,,,,,,,,,,,,,,,,,,
성분,모노크레아틴 플러스,"모노크레아틴 플러스 
크레아틴 100%가 아닌 99% 이유","모노크레아틴 플러스 제품의 크레아틴 순도는 99.8%여서 패키지에 99%로 표기하였습니다.

원료 배합비율은 100% 인점 고객님께 안내부탁드립니다~",,,,,,,,,,,,,,,,,,,
크레아틴,모노크레아틴 플러스,(부작용문의) 타제품 복용시 가슴주변의 트러블이 나는데 혹시 동일 사안 문의가 있었는지?,"문의주신 내용의 경우 개인차가 매우 심한 부분이므로 정확한 안내가 어려운 점 미리 양해 부탁 드립니다. 다만 말씀하신 증상을 문의 주신 분들은 매우 적었음을 먼저 말씀드립니다.
피부 트러블의 경우 호르몬의 영향이 매우 큰 부분이며, 말씀하신 타 제품 크레아틴 복용 후 운동을 통한 호르몬 증진이 일어날 시 트러블 현상이 일어나는 것으로 판단됩니다.
익스트림의 크레아틴의 경우 99% 이상의 모노하이드레이트 크레아틴 원료로만 제조된 크레아틴입니다. 
다만, 말씀하신 피부 트러블은 고강도 운동으로 인한 호르몬 상승 및 피지 분비 등의 복합적인 이유가 있기에 저희 제품을 드시고 해당 문제가 없다고 100% 장담하기 어렵습니다.
추천드리는 것은, 소용량(1g~) 크레아틴을 섭취하면서 운동을 진행하시고 경과를 지켜보시는 게 어떠신지 조심스럽게 조언 드립니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,밀크씨슬 800,실리마린 과다섭취,"세계보건기구에서 말하는 하루권장량은 WHO에서 250-400mg이라고 하였으나 다른 연구결과들은 하루 600mg 실리마린까지 적극섭취하였다는 결과들이 있습니다.
미국에서는 하루 1,000mg의 실리마린까지는 인체에 문제가 되지 않는다는 보고서들도 있습니다. 
익스트림 밀크씨슬800 제품의 하루 섭취량은 3알 기준 밀크씨슬 800mg, 실리마린 400mg 입니다. 
따라서 한 알에 약 133mg의 실리마린이 포함되어 있어 섭취량을 조절하실 수 있습니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,밀크씨슬 800,실리마린 순도,"저희가 사용하는 밀크씨슬은 프랑스산이며 순도는 50% 입니다.
밀크씨슬 800의 경우 1일 섭취량 기준 밀크씨슬 800mg 혹은 실리마린 400mg 섭취가 가능하시며,
익스트림 밀크씨슬 플러스 상품의 경우 일일기준 밀크씨슬 260mg 혹은 실리마린 130mg 섭취가 가능합니다.",,,,,,,,,,,,,,,,,,,
밀크씨슬,밀크씨슬 800,비타민B 함유량 문의,"익스트림 밀크씨슬 800 제품의 비타민 B(B1,2,6 )군은 부원료로 소량 함유되어 있는 점 참고 부탁드립니다.  (실함유량은1일 섭취량 3정 기준 비타민B1,2,6 : 0.24mg 씩입니다)",,,,,,,,,,,,,,,,,,,
밀크씨슬,밀크씨슬 800,칼슘 함유량 문의,익스트림 밀크씨슬 800 제품의 칼슘 함유량은1일 섭취량 3정 기준 2.4mg 입니다.,,,,,,,,,,,,,,,,,,,
밀크씨슬,밀크씨슬 플러스,하루에 2정씩 섭취해도 무방할까요?,"네, 가능합니다.  

(아래 내용은 추가 문의시 답변해주세요
2정 섭취 시 실리마린 260mg, 비타민B군 3종을 1일영양성분 기준치의 200% 섭취하게 되는데요, 시중에 실리마린 고함량 제품도 많고(ex 자사제품으로는 밀크씨슬 800),  비타민B군은 수용성 비타민이여서 고함량 섭취해도 체외로 배출되어 무방합니다)",,,,,,,,,,,,,,,,,,,
비율 문의,밸런스드 프로틴&류신,"wpi,wpc,isp의 함유비율 문의","ISP 4600 : WPI 1 : WPC 1
비율로 함유 되어있습니다.",,,,,,,,,,,,,,,,,,,
프로틴,밸런스드 프로틴&류신,"상품 내 동봉되어 있는 스푼은 밑에서부터 10,20,30이라고 적혀있는데 
해당 스푼으로 3스쿱을 섭취하게 되면 40g이 넘지 않는건지, 과다 복용하는 것 아닌가요?","문의 주신 스푼 관련 내용의 경우 스푼 앞 쪽에 10 / 20 / 30 표시가 기재 되어 있는데요,
해당 숫자는 스푼에 물을 담았을시에 ""CC""단위를 말하는 것으로 해당 선에 맞춰 물을 담았을 때 몇 CC 인지 알수 있도록 표시 해 놓은 것입니다.
(참고로 스푼자체는 분말/액상용을 가리지 않고 공용으로 사용 되기 때문에 CC단위로 표시를 하고 있습니다.)
분말의 경우는 구성 원료에 따라 부피와 중량 비율이 모두 다르기 때문에 해당 CC표시로 판단하시면 안되며,
별개로 분말을 채워서 어느 정도 중량이 담기는지 확인합니다.
따라서 익스트림 밸런스드 프로틴 류신의 경우 스푼의 눈금선에 맞춰 담으신뒤 약 3스푼이 1회분이 맞습니다.",,,,,,,,,,,,,,,,,,,
프로틴,밸런스드 프로틴&류신,"익스트림 칼슘, 마그네슘 제품 섭취 중 상태 
류신 단백질 플러스 제품과 동시 섭취 가능&꼬막칼슘 마그네슘 제품 1일 섭취 함량 기준에 따른 동시 섭취 가능 여부",두 제품 동시 섭취 가능합니다 :) 다만 공복일 경우 위에 부담을 줄 수 있어 식후섭취를 권장드립니다.,,,,,,,,,,,,,,,,,,,
프로틴,밸런스드 프로틴&류신,섭취 방법 문의,"익스트림 밸런스드 프로틴&류신은 1회 섭취 40g 당 단백질 20g 함량 되어 있습니다. 섭취하시고 싶은 양에 따라 1일 1~2회 섭취 가능하시며, 1회 섭취시  40g(3스쿱)을 300ml 물에 넣어서 섭취 권장 드립니다.",,,,,,,,,,,,,,,,,,,
프로틴,밸런스드 프로틴&류신,초등학생 섭취 가능,"초등학생도 섭취가능합니다.다만, 균형있는 식습관 형성이 중요한 시기이기 때문에 식사와 적절한 운동과 병행하여 섭취하여 주시면 더욱 좋습니다~",,,,,,,,,,,,,,,,,,,
프로틴,밸런스드 프로틴&류신,"운동 전,후 언제 섭취하는게 좋을까요?","운동 전에 섭취 하시는것을 권장 드리나, 식사대용, 개인의 운동 습관에 따라 운동 후 드셔도 가능 합니다.",,,,,,,,,,,,,,,,,,,
프로틴,밸런스드 프로틴&류신,찬물 혼합 잘 되는지 여부,해당 상품 찬물에 잘 혼합되는 상품 입니다~!다만 더욱 편하게 섭취 희망할 경우 익스트림 쉐이커볼을 이용하시면 더욱 편하게 섭취 가능 하십니다.,,,,,,,,,,,,,,,,,,,
프로틴,밸런스드 프로틴&류신,식사대용 가능 여부,"해당 상품 포만감이 목적이라면 식사대용으로 섭취 가능합니다.
다만 개인의 몸 상태에 따라 영양 밸런스를 맞춰 드시는 것을 권장 드립니다. :)",,,,,,,,,,,,,,,,,,,
프로틴,밸런스드 프로틴&류신,분리유단백질 총 함유량,밸런스드 프로틴 류신 단백질 보충제 제품에 분리유단백 함유 되어있지않습니다.,,,,,,,,,,,,,,,,,,,
프로틴,밸런스드 프로틴&류신,가루속에 하얀 알갱이는 무엇인가요?,하얀색 알갱이는 제품 원료로 사용된 류신 원료입니다.,,,,,,,,,,,,,,,,,,,
제품 정보,보틀(물병),트라이탄 소재인지,"트라이탄 소재 아니며 열탕, 뜨거운 음료 보관시 변형이 있을 수 있음",,,,,,,,,,,,,,,,,,,
상품 문의,블랙마카 / 아르기닌,블랙마카 젤리스틱과 알약 / 아르기닌 젤리스틱과 액상 중 각각 어느 것이 좋은지 차이점 문의하십니다.,"블랙마카 젤리스틱 : 젤리스틱 형태로 블랙마카가 1000mg 함유되어있어 간편하게 활력을 챙길 수 있습니다.
블랙마카 1800, 2500(알약) : 블랙마카가 초고함량 함유되어있으며, 활력 시너지 효과를 줄 수 있는 흑마늘, 야관문, 흑삼이 함유되어있어 활력이 더욱 필요하신 분들께 추천드립니다.
아르기닌 6200, 5000 (액상) : 아르기닌이 고함량 함유되어있으며, L-아미노산 5중배합 설계로 흡수율을 높여 활력을 극대화 할 수 있습니다.
아르기닌 젤리스틱 : 아르기닌 섭취가 힘드셨던 분들을 위해 블루베리맛 젤리형태로 간편하게 활력을 챙기실 수 있습니다.

=> 블랙마카 젤리스틱, 아르기닌 젤리스틱 : 간편하게 활력을 챙길 수 있음.
=> 블랙마카 1800, 2500, 아르기닌 6200, 5000 : 고함량 함유되어있으며 시너지 원료 배합으로 활력을 극대화 시킬 수 있는 제품.",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,"트리플 아르기닌 6200과 
블랙마카 1800 제품을 같이 섭취해도 되나요?","익스트림 트리플 아르기닌과 익스트림 블랙마카 제품을 같이 복용하실 경우 더 좋은 시너지 효과를 보실 수 있습니다. 
블랙마카1800 제품은 블랙푸드 4중 배합을 통해 활력 개선에 도움을 주며, 아르기닌은 운동 시 부스터 효과를 줄 수 있어 추천 드리는 조합 입니다.",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,블랙마카1800 효과는 언제부터 볼수있나요?,"체질 또는 몸상태에 따라 단기간 효과를 느끼는 분들도 계시고 다소 기간이 지난 뒤 효과를 느끼시는 분들이 계시기 때문에 정확한 답변은 어려우나
활력이 서서히 축적되어 몸이 제대로 느끼기까지 최소 3개월 이상 꾸준한 섭취를 권장드립니다.",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,권장량의 2배 이상 섭취해도 되나요?,"익스트림 블랙마카 제품은 하루 4정만으로도 충분한 영양섭취가 가능하지만, 
개인의 몸컨디션에 따라 섭취량을 조절하여 복용 하셔도 괜찮습니다.",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,블랙마카 아연 함량,"※(*제조사별로 상이함) 한미양행 : 3.6mg / 우리바이오 18,2mg) / 구매고객의 경우 정보 확인 후 출고 된 제품의 제조사 기준으로 안내 필요

익스트림 블랙마카 1800 제품의 아연 함유량은 1일 섭취량 4정 기준으로 3.6mg / 18.2mg 입니다.",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,블랙마카 함유량,"익스트림 블랙마카에 함유되어 있는 블랙마카는 4정 기준으로, 젤라틴화 분말 마카 1816mg 함유되어 있으며, 함량률은 49.99%입니다. 
(식약처에서 지정해놓은 양으로 정제 알약 1개당 49.99% 까지 가능)
젤라틴화 분말을 사용하여 체내 흡수율을 높힌 제품으로 피로 회복과 생활 활력 개선에 도움을 줍니다.",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,흡연자도 섭취 문의,"1정당 비타민A 2mcg가 함유되어있으며, 1일 섭취량 기준 8mcg 함유되어있습니다.
1일 섭취량 기준 1% 이하로 극소량 함유되어있어 흡연자가 섭취해도 무방합니다.",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,함유된 옥수수전분은 GMO인가요?,익스트림 블랙마카 1800 제품에 함유 된 옥수수 전분은 non-GMO로 안심하시고 섭취하셔도 괜찮습니다.,,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,비타민B 함유량,익스트림 블랙마카의 비타민B 함유량은 4정 섭취 기준 378mcg입니다.,,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,바이오페린 함량이 궁금해요,"익스트림 블랙마카 1800에 함유된 바이오페린은 1정 당 0.9mg 함유 되었으며, 1일 섭취량 기준 3.6mg 함유 되어 있습니다.",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,블랙마카 1800 성분에 대한 배합률 문의,"제품의 정확한 배합비는 내부 정책상 안내가 제한되는 점 양해 부탁드립니다.
다만, 마카는 최대 배합 기준인 49.9%로 고함량 구성되어 있으며,
흑마늘 10%, 야관문 5% 등 주요 부원료들도 기준에 맞춰 적절히 배합되어 있습니다.",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,1정당 칼로리 문의,1정당 3.4칼로리,,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 1800,컷팅 부분이 거칠어요 or 가루가 있어요,"제품 컷팅부분이 거칠다라고 하신것은 정상적인 현상입니다.
가루현상은 코팅을 하더라도 제품이 던져지거나 안에 비닐을 전부 제거하고 가방이나 흔들림이 있는 상태로 충격이 가해지면 가루현상이 일어날 수 있는 점 참고 부탁드립니다.",,,,,,,,,,,,,,,,,,,
성분,블랙마카 1800,녹용추출물분말 함유량,부원료로서 극소량(0.35mg) 함유,,,,,,,,,,,,,,,,,,,
성분 문의,블랙마카 1800,부정맥 고객 / 블랙마카 성분 중 혈압 증감 성분이 있는지 확인 부탁드립니다.,"부정맥 및 혈압에 문제가 있으시면 전문의와 상담 후에 섭취 권장드립니다.
일부 논문에서 혈압에 영향을 주었다는 내용이 있습니다.",,,,,,,,,,,,,,,,,,,
블랙마카,"블랙마카 1800
블랙마카 2500
블랙마카 활력환
블랙마카 800+
블랙마카 젤리스틱",블랙마카 차이점,"1.익스트림 마카 800+
하루 2정만으로 페루산 마카 800mg을 간편하게 섭취할 수 있는 제품입니다. 마카의 흡수율을 높이는 젤라틴화 공법을 적용해 몸에 더 잘 흡수되며, 
바이오페린을 함유해 활력을 더해줍니다. 또한, 7가지 불필요한 첨가물이 없어 안심하고 섭취할 수 있으며, 가성비가 좋아 부담 없이 꾸준히 복용하기에 적합합니다.


2.익스트림 블랙마카 1800
하루 2번, 2정씩 총 4정을 섭취하면 1일 기준 1,816mg의 블랙마카를 섭취할 수 있는 초고함량 제품입니다.
흡수를 돕는 젤라틴화 공법이 적용되었으며, 흑마늘, 야관문, 흑삼까지 추가되어 한 번에 4가지 블랙푸드를 섭취할 수 있습니다. 
여기에 바이오페린과 12가지 부원료까지 더해져 활력을 더욱 효과적으로 채워줍니다.

3.익스트림 블랙마카 1800 벌크형
블랙마카를 대용량으로 섭취하고 싶은 분을 위한 제품으로 하루 3정만 섭취하면 블랙마카 1,871mg을 비롯해 흑마늘, 야관문, 흑삼까지 한 번에 챙길 수 있습니다. 
기존 제품보다 1일 섭취량이 줄어 더 간편하며 3개월 동안 꾸준히 먹을 수 있는 대용량 사이즈로 더욱 실속 있게 즐길 수 있습니다.

4.익스트림 블랙마카 2500
국내 최초로 블랙마카 2,514mg을 한 번에 담은 초고함량 제품으로, 블랙마카뿐만 아니라 흑마늘, 야관문, 흑삼과 아르기닌 20mg까지 추가되어 활력과 에너지를 극대화합니다. 
특히 고강도 운동을 즐기거나 폭발적인 활력을 원하시는 분들께 최적화된 제품으로 하루 2번 2정씩 총 4정을 섭취하면 됩니다.

5.익스트림 블랙마카 젤리스틱
맛있고 간편하게 활력을 채우고 싶은 분을 위한 제품으로 고함량 블랙마카 1,000mg과 익스트림만의 14종 영양 성분을 배합하여 종합적인 건강을 지원합니다. 
체내 흡수율을 높이는 젤라틴화 공법과 활력 증진을 돕는 특허 원료 바이오페린이 포함되어 효과적인 활력 증진을 도와줍니다. 
포도맛 젤리스틱으로 하루 1포만 섭취하면 맛있고 간편하게 활력을 채울 수 있습니다.

🌟활력 충전! 목적별 블랙마카 제품 추천
입문용으로 부담 없이 섭취하고 싶다면 → 익스트림 마카 800+ 
고함량 블랙마카를 원하신다면 → 익스트림 블랙마카 1800
대용량으로 실속 있게 챙기고 싶다면 → 익스트림 블랙마카 1800 벌크형
운동을 즐기거나 초고함량 블랙마카를 찾으신다면 → 익스트림 블랙마카 2500
맛있고 간편하게 활력을 챙기고 싶다면 → 익스트림 블랙마카 젤리스틱",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 2500,탄수화물 / 당류 4정당 얼마나 되나요?,"익스트림 블랙마카 2500 1정당 당류 0.16g 탄수화물 0.88g입니다.
따라서 4정 기준으로는 당류 0.64g 탄수화물 3.52g입니다!",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 2500,블랙마카 2500 아연 함유량은?,"1정당 1,350mg*0.002= 2.7mg / 4정당 2.7mg*4= 10.8mg",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 2500,"비타민D,B의 함유량은?","비타민B와 D는 극소량 함유되어 있어 수치상으로 안내드리기 어려운 점 양해 부탁드립니다.
대신 블랙마카 2500은 블랙마카 2514mg 흑마늘 400mg 야관문 200mg 흑삼 20mg 아르지닌 20mg을 집중적으로 배합하여 활력과 에너지 증진에 초점을 맞췄습니다!",,,,,,,,,,,,,,,,,,,
블랙마카,블랙마카 2500,"블랙마카,해조칼슘 외 전 원료 국산인가요?","전 원료가 모두 국산은 아니고 프랑스산, 독일산, 국산 등 여러 원산지가 섞여있습니다",,,,,,,,,,,,,,,,,,,
성분,블랙마카 2500,1일 섭취량 기준 칼슘 함유량,블랙마카2500 1일 섭취량 기준 해각칼슘 1285mg 함유되어있습니다.,,,,,,,,,,,,,,,,,,,
성분,블랙마카 2500,엽산 함유량문의,"블랙마카 2500의 엽산 함량은 0.0001mg 로 극 소량 포함되어있습니다. 블랙마카 2500의 경우 블랙마카, 흑마늘, 야관문, 흑삼, 아르지닌을 주원료로 활력과 에너지에 포커싱한 제품인 점 참고 부탁드립니다~",,,,,,,,,,,,,,,,,,,
성분,블랙마카 2500,바이오페인 함량,"바이오페린 극소량 함유된 점 안내부탁드립니다, 1정 기준 약 0.1mg 입니다",,,,,,,,,,,,,,,,,,,
